Trade_ID,Symbol,Interval,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,Stop_Loss,Take_Profit,Position_Size,Status,Profit_Loss,Profit_Loss_Pct,Risk_Reward,Highest_Price,Lowest_Price,Max_Profit,Max_Profit_Pct,Give_Back,Give_Back_Pct,Duration_Minutes,Logged_At
2,LIGHTUSDT,1m,SHORT,2025-10-16 08:36:14,1.02,2025-10-16 08:39:10,1.02,1.02,0.98,10.00,CLOSED_SL,-0.03,-0.26,1.82,1.02,1.01,0.06,0.58,0.08,0.84,2.93,2025-10-16 08:39:10
4,YGGUSDT,1m,SHORT,2025-10-16 08:37:11,0.16,2025-10-16 08:39:10,0.17,0.16,0.16,10.00,CLOSED_SL,-0.05,-0.55,3.07,0.17,0.16,0.04,0.36,0.09,0.91,1.99,2025-10-16 08:39:10
5,KGENUSDT,1m,SHORT,2025-10-16 08:37:11,0.28,2025-10-16 08:39:10,0.23,0.28,0.26,5.00,CLOSED_TP,0.87,17.46,15.29,0.28,0.23,0.87,17.46,0.00,0.00,1.98,2025-10-16 08:39:10
6,0GUSDT,1m,SHORT,2025-10-16 08:38:11,2.06,2025-10-16 08:39:10,2.04,2.06,2.05,10.00,CLOSED_TP,0.06,0.64,2.13,2.06,2.04,0.06,0.64,0.00,0.00,0.99,2025-10-16 08:39:10
3,EVAAUSDT,1m,SHORT,2025-10-16 08:37:10,4.08,2025-10-16 08:42:10,4.08,3.96,2.89,5.00,CLOSED_SL,-0.00,-0.07,72.80,4.08,3.89,0.23,4.63,0.23,4.70,5.00,2025-10-16 08:42:10
8,0GUSDT,1m,SHORT,2025-10-16 08:41:11,2.06,2025-10-16 08:44:10,2.04,2.06,2.05,5.00,CLOSED_TP,0.03,0.65,2.03,2.06,2.04,0.04,0.40,0.01,-0.25,2.99,2025-10-16 08:44:10
7,LIGHTUSDT,1m,SHORT,2025-10-16 08:40:11,1.03,2025-10-16 08:45:12,1.03,1.03,0.98,5.00,CLOSED_SL,-0.03,-0.54,3.78,1.03,1.01,0.12,1.23,0.15,1.77,5.01,2025-10-16 08:45:12
9,COAIUSDT,1m,SHORT,2025-10-16 08:42:11,17.57,2025-10-16 08:47:10,17.28,17.40,17.38,5.00,CLOSED_TP,0.08,1.64,4.12,17.57,17.28,0.08,1.64,0.00,0.00,4.99,2025-10-16 08:47:10
1,VFYUSDT,1m,SHORT,2025-10-16 08:36:14,0.08,2025-10-16 08:49:10,0.08,0.08,0.08,5.00,CLOSED_TP,0.09,1.89,4.55,0.08,0.08,0.09,1.89,0.00,0.00,12.94,2025-10-16 08:49:10
10,LIGHTUSDT,1m,SHORT,2025-10-16 08:49:10,1.08,2025-10-16 08:51:11,1.08,1.08,1.03,10.00,CLOSED_SL,-0.02,-0.22,10.63,1.08,1.07,0.08,0.84,0.11,1.06,2.01,2025-10-16 08:51:11
12,OMUSDT,1m,SHORT,2025-10-16 08:52:10,0.13,2025-10-16 08:54:11,0.13,0.13,0.13,10.00,CLOSED_SL,-0.01,-0.08,1.79,0.13,0.13,0.01,0.07,0.02,0.15,2.01,2025-10-16 08:54:11
11,LIGHTUSDT,1m,SHORT,2025-10-16 08:51:11,1.08,2025-10-16 08:55:11,1.07,1.07,1.03,5.00,CLOSED_SL_WIN,0.04,0.84,10.94,1.08,1.06,0.09,1.84,0.05,1.00,4.00,2025-10-16 08:55:11
14,OMUSDT,1m,SHORT,2025-10-16 08:54:11,0.13,2025-10-16 08:55:11,0.13,0.13,0.13,10.00,CLOSED_TP,0.03,0.29,2.33,0.13,0.13,0.03,0.29,0.00,0.00,1.00,2025-10-16 08:55:11
13,HEIUSDT,1m,SHORT,2025-10-16 08:53:12,0.24,2025-10-16 08:55:11,0.24,0.24,0.23,10.00,CLOSED_SL,-0.06,-0.55,4.00,0.24,0.24,0.00,0.00,0.06,0.55,1.99,2025-10-16 08:55:11
15,VIRTUALUSDT,1m,SHORT,2025-10-16 08:54:11,0.81,2025-10-16 08:55:11,0.81,0.81,0.80,10.00,CLOSED_SL,-0.05,-0.53,1.62,0.81,0.81,0.00,0.00,0.05,0.53,0.99,2025-10-16 08:55:11
20,DASHUSDT,1m,SHORT,2025-10-16 08:58:10,47.19,2025-10-16 08:59:10,47.39,47.27,46.89,10.00,CLOSED_SL,-0.04,-0.42,3.52,47.39,47.19,0.00,0.00,0.04,0.42,1.00,2025-10-16 08:59:10
